"","Is.Non.Annual.","FRP.Active","CRM.Segment","School.Type","MDR.Low.Grade","MDR.High.Grade","Total.School.Enrollment","School.Sponsor","SPR.New.Existing","DepartureMonth","SingleGradeTripFlag","FPP.to.School.enrollment","SchoolSizeIndicator","Retained.in.2012.","NPS.2011","NPS.2008"
"1208","0",3,"8","PUBLIC",11,12,1388,"0","NEW","May","0",102,"L","0",9.81,9.42
"1211","0",67,"5","PUBLIC",8,8,1073,"0","EXISTING","May","0",1615,"L","1",10,9
"1234","0",94,"4","PUBLIC",12,6,855,"1","EXISTING","May","1",1850,"L","1",6.24,8.05
"1235","0",55,"5","Private non-Christian",13,12,812,"0","EXISTING","May","1",1438,"L","1",3,10
"1237","0",0,"10","PUBLIC",8,8,686,"0","NEW","May","1",905,"M-L","0",8,8.315
"1240","0",6,"4","PUBLIC",12,5,749,"0","EXISTING","May","1",631,"M-L","1",10,10
"1251","0",29,"4","Private non-Christian",12,6,280,"0","EXISTING","May","1",1730,"S","1",2,9
"1253","0",15,"10","PUBLIC",9,8,495,"0","NEW","May","0",1095,"S-M","1",10,8.65
"1264","1",22,"10","PUBLIC",13,12,450,"0","EXISTING","May","0",1197,"S-M","0",8,9.36
"1274","0",16,"7","Private non-Christian",1,8.85,111,"0","NEW","May","0",1845,"S","0",8,9.09
"1280","0",39,"5","Private non-Christian",13,8,900,"0","EXISTING","May","1",1341,"L","1",9,8.97
"1283","0",3,"11","CHD",9,8,100,"1","EXISTING","May","1",1749,"S","1",10,8
"1287","0",32,"10","PUBLIC",8,8,315,"0","EXISTING","May","1",1869,"S","1",10,9.26
"1288","0",27,"10","PUBLIC",8,8,220,"0","EXISTING","May","1",1808,"S","1",10,10
"1290","0",17,"10","PUBLIC",8,8,155,"0","NEW","May","0",1707,"S","0",8,9.45
"1291","1",15,"10","PUBLIC",13,7,442,"0","NEW","May","0",1412,"S-M","0",10,9.56
"1293","0",52,"10","PUBLIC",8,10,600,"0","EXISTING","May","1",1647,"M-L","1",9.09,9.39333333333333
"1294","1",18,"10","Catholic",9,12,189,"0","NEW","May","0",1506,"S","1",8,10
"1300","0",16,"10","PUBLIC",9,8,804,"0","NEW","May","1",833,"M-L","1",9,9
"1303","0",10,"5","PUBLIC",12,8,786,"1","EXISTING","May","1",847,"M-L","1",8.65,7.93
"1316","0",21,"10","PUBLIC",7,8,400,"0","NEW","May","0",1518,"S-M","1",10,9.68
"1321","0",19,"4","CHD",13,6,407,"1","EXISTING","May","1",1494,"S-M","1",10,9.015
"1326","0",13,"10","PUBLIC",8,8,594,"0","NEW","May","1",759,"M-L","0",9,8.71
"1333","0",7,"5","PUBLIC",8,8,1072,"1","EXISTING","May","1",253,"L","1",9.26,10
"1343","0",22,"10","PUBLIC",9,8,487,"0","EXISTING","May","1",1254,"S-M","1",9.53,9
"1350","0",9,"10","PUBLIC",7,6,372,"0","EXISTING","May","1",1414,"S-M","1",8,8
"1358","0",45,"5","PUBLIC",8,8,1000,"0","EXISTING","May","1",1255,"L","1",9,9.05
"1363","0",7,"1","Catholic",13,8,131,"0","NEW","May","0",1086,"S","0",9,8.67
"1364","0",4,"10","PUBLIC",9,8,756,"0","NEW","May","0",272,"M-L","0",10,9.15
"1366","0",26,"10","PUBLIC",9,8,609,"0","NEW","May","0",1114,"M-L","1",10,9.83
"1369","0",17,"5","PUBLIC",12,8,1011,"0","NEW","May","0",501,"L","0",5,9.29
"1376","0",28,"10","PUBLIC",8,8,775,"0","EXISTING","May","1",1228,"M-L","1",10,10
"1379","0",11,"10","PUBLIC",8,8,206,"0","EXISTING","May","0",1487,"S","0",7,9.45
"1396","0",25,"10","Private non-Christian",9,12,540,"0","EXISTING","May","1",1377,"S-M","1",9.1,9
"1401","0",6,"10","PUBLIC",12,8,806,"0","EXISTING","May","1",208,"M-L","0",9.4,10
"1403","0",11,"10","PUBLIC",10,9,808,"0","NEW","May","0",356,"M-L","1",10,9.34
"1404","0",34,"5","Private non-Christian",13,12,650,"0","EXISTING","May","1",1378,"M-L","1",9.27,8
"1412","0",6,"10","PUBLIC",12,8,786,"0","NEW","May","0",218,"M-L","0",9.91,9.74
"1415","0",5,"8","PUBLIC",3,12,2175,"0","EXISTING","May","1",34,"L","0",9,10
"1427","0",7,"10","PUBLIC",8,8,411,"0","EXISTING","May","1",1045,"S-M","1",9,5
"1431","0",7,"5","PUBLIC",9,8,610,"1","NEW","May","0",619,"M-L","0",7.86,8.06
"1437","0",26,"10","PUBLIC",8,8,928,"0","EXISTING","May","0",732,"L","1",10,10
"1447","0",20,"10","PUBLIC",8,8,549,"0","EXISTING","May","1",993,"S-M","1",10,9
"1448","1",3,"10","PUBLIC",10,9,280,"0","EXISTING","May","0",660,"S","0",10,9.53
"1452","0",14,"10","PUBLIC",8,8,150,"0","EXISTING","May","1",1505,"S","0",10,10
"1454","0",12,"10","PUBLIC",8,8,300,"0","EXISTING","May","1",1554,"S","1",10,10
"1462","0",48,"10","PUBLIC",8,8,800,"0","EXISTING","May","1",1427,"M-L","1",10,9.46166666666667
"1468","0",20,"10","PUBLIC",8,8,250,"0","EXISTING","May","1",1532,"S","1",10,10
"1472","0",4,"8","PUBLIC",11,9,710,"0","NEW","May","1",79,"M-L","1",9.59,9.21
"1477","0",15,"10","PUBLIC",8,8,523,"0","NEW","May","1",736,"S-M","1",9.7,9.29
"1479","0",5,"5","PUBLIC",9,8,600,"0","NEW","May","0",408,"M-L","1",9,8.02
"1482","0",34,"10","PUBLIC",8,8,813,"1","EXISTING","May","0",1003,"L","1",8,9
"1487","0",20,"5","Private non-Christian",13,8,470,"1","EXISTING","June","1",1339,"S-M","1",9.67,10
"1490","0",0,"4","Private non-Christian",12,6,213,"1","EXISTING","June","1",1779,"S","1",10,9.48
"1496","0",8,"5","PUBLIC",12,12,1368,"0","NEW","June","0",179,"L","0",8.61,8.33
"1498","1",9,"4","Private non-Christian",13,6,325,"0","EXISTING","June","0",644,"S","0",10,10
"1506","1",8,"1","CHD",12,8,70,"0","NEW","June","0",1673,"S","0",9.51,9
"1516","0",4,"3","PUBLIC",12,8,200,"0","EXISTING","June","0",964,"S","0",9.46,9.23
"1523","0",19,"10","PUBLIC",9,8,325,"0","EXISTING","June","1",1538,"S","1",9.15,10
"1524","0",20,"7","Private non-Christian",13,12,812,"0","EXISTING","June","1",754,"L","1",3,10
"1527","0",34,"10","PUBLIC",8,8,686,"0","EXISTING","June","1",1260,"M-L","1",10,10
"1542","0",3,"4","PUBLIC",12,8,238,"0","EXISTING","June","0",288,"S","0",9.68,10
"1557","0",13,"10","PUBLIC",13,8,926,"0","NEW","June","1",1634,"L","1",9,8.56
"1569","0",18,"10","PUBLIC",13,12,400,"0","NEW","June","0",1136,"S-M","0",10,9.58
"1577","0",7,"10","PUBLIC",8,8,650,"0","NEW","June","0",370,"M-L","0",8,8.3
"1580","1",11,"10","PUBLIC",8,8,290,"0","EXISTING","June","0",1194,"S","0",9,9.23
"1583","0",8,"4","PUBLIC",12,5,272,"1","EXISTING","June","1",1480,"S","1",9.79,9.5
"1585","0",23,"1","PUBLIC",13,8,1300,"0","NEW","June","0",1462,"L","0",7.35,8.38
"1588","0",4,"10","PUBLIC",7,8,320,"0","NEW","June","1",460,"S","0",10,9.22
"1593","0",22,"10","PUBLIC",9,8,350,"0","NEW","June","0",1390,"S-M","0",9,9.43
"1596","0",13,"10","PUBLIC",8,8,531,"0","EXISTING","June","0",692,"S-M","1",10,10
"1607","0",4,"10","PUBLIC",8,8,550,"0","EXISTING","June","1",348,"S-M","1",10,10
"1608","0",32,"10","PUBLIC",7,8,410,"0","EXISTING","June","1",1734,"S-M","1",10,10
"1612","0",0,"10","PUBLIC",8,8,880,"0","NEW","June","0",53,"L","1",9,8.29
"1628","0",17,"10","PUBLIC",8,8,800,"0","EXISTING","June","1",620,"M-L","1",10,9
"1631","0",2,"1","PUBLIC",8,8,526,"0","NEW","June","0",36,"S-M","1",10,8.61
"1633","0",23,"10","PUBLIC",8,8,729,"0","EXISTING","June","1",1005,"M-L","1",10,10
"1634","0",2,"1","PUBLIC",13,8,250,"0","NEW","June","0",275,"S","0",10,9.14
"1638","0",12,"10","PUBLIC",12,8,200,"0","NEW","June","0",1365,"S","0",10,9.74
"1639","0",21,"10","PUBLIC",8,8,500,"0","EXISTING","June","1",1365,"S-M","1",10,9.85
"1640","0",7,"6","PUBLIC",8,8,1175,"0","EXISTING","June","0",193,"L","1",10,10
"1645","0",5,"5","PUBLIC",8,8,957,"0","EXISTING","June","1",196,"L","1",8,8.53
"1646","0",1,"5","PUBLIC",8,8,575,"0","EXISTING","June","0",177,"S-M","1",8,9
"1647","0",11,"5","PUBLIC",13,8,650,"0","EXISTING","June","0",672,"M-L","0",10,8
"1656","0",51,"5","PUBLIC",9,8,977,"0","EXISTING","June","1",1355,"L","1",8,10
"1659","0",18,"7","CHD",1,7.98,555.7,"0","EXISTING","June","1",967.92,"","1",8,8.61
"1660","0",16,"5","PUBLIC",8,8,1075,"0","NEW","June","1",899,"L","1",8,8.62
"1668","1",59,"10","PUBLIC",8,8,382,"0","EXISTING","June","0",1772,"S-M","0",7,9.27
"1669","0",5,"10","PUBLIC",9,12,440,"0","EXISTING","June","1",389,"S-M","1",9.79,9.56
"1678","0",37,"10","PUBLIC",8,8,1233,"0","EXISTING","June","1",1002,"L","1",10,10
"1683","0",8,"10","PUBLIC",8,8,765,"0","EXISTING","June","0",441,"M-L","1",8,10
"1686","0",21,"5","PUBLIC",7,6,668,"0","EXISTING","June","1",985,"M-L","0",9,9.45
"1693","0",30,"10","PUBLIC",8,8,622,"0","EXISTING","June","1",1362,"M-L","1",10,10
"1694","0",14,"10","PUBLIC",8,8,794,"0","EXISTING","June","1",841,"M-L","1",9.29,9.39
"1697","0",6,"10","PUBLIC",12,8,750,"0","EXISTING","June","0",275,"M-L","1",9.77,9.6
"1705","0",10,"5","Catholic",12,8,303,"1","EXISTING","June","1",1078,"S","1",9,9
"1706","1",10,"5","CHD",8,8,594.12,"0","EXISTING","June","0",905.62,"","0",10,9.54
"1711","0",3,"5","Catholic",10,12,938,"0","EXISTING","June","0",73,"L","0",8,10
"1712","0",5,"7","CHD",1,7.97,572.9,"0","NEW","June","1",968.34,"","0",9.01,8.32
"1715","1",14,"10","PUBLIC",8,8,238,"0","EXISTING","June","0",1676,"S","0",8,9.06
"1719","1",14,"10","PUBLIC",13,8,925,"0","NEW","June","0",653,"L","0",10,10
"1722","1",21,"8","PUBLIC",11,12,320,"0","NEW","June","0",1427,"S","0",10,9.6
"1731","0",4,"8","PUBLIC",11,12,250,"0","EXISTING","June","1",486,"S","0",10,9.45
"1732","0",10,"10","Private non-Christian",12,8,180,"0","EXISTING","June","0",1245,"S","1",10,9.59
"1735","1",19,"4","PUBLIC",13,6,485,"0","EXISTING","June","0",1110,"S-M","0",10,9.635
"1746","0",18,"10","PUBLIC",9,9,945,"0","NEW","June","0",535,"L","1",8.49,8.2
"1747","0",23,"10","PUBLIC",9,8,420,"0","EXISTING","June","1",1722,"S-M","1",10,9.82
"1749","0",15,"5","PUBLIC",8,8,613,"0","NEW","June","0",880,"M-L","0",8.94,8
"1750","0",6,"10","PUBLIC",9,8,250,"0","EXISTING","June","1",725,"S","1",10,10
"1763","0",10,"10","PUBLIC",12,8,425,"0","EXISTING","June","1",746,"S-M","0",9.93,10
"1765","0",18,"10","Private non-Christian",12,8,900,"0","EXISTING","June","1",707,"L","1",9,8
"1767","0",3,"1","PUBLIC",8,8,630,"0","NEW","June","0",57,"M-L","0",9.33,8.65
"1770","0",28,"5","PUBLIC",9,8,901,"0","NEW","June","0",951,"L","0",8,9
"1776","0",9,"10","PUBLIC",8,8,300,"0","EXISTING","June","0",930,"S","0",10,9.61
"1780","1",5,"10","PUBLIC",13,8,175,"0","NEW","June","0",1051,"S","0",9.86,9.66
"1782","0",6,"10","PUBLIC",9,8,325,"0","NEW","June","0",763,"S","0",10,9.38
"1783","0",19,"10","PUBLIC",8,8,830,"0","NEW","June","0",595,"L","0",5,10
"1798","0",12,"10","PUBLIC",8,8,200,"0","EXISTING","June","0",1403,"S","0",7,8.47
"1800","0",6,"1","PUBLIC",12,8,726,"0","EXISTING","June","1",430,"M-L","1",8,8.19
"1808","0",21,"4","PUBLIC",7,6,709,"0","NEW","June","0",883,"M-L","0",9,9.53
"1815","0",3,"8","PUBLIC",11,12,599,"0","NEW","June","0",111,"M-L","0",9.76,9.06
"1816","0",5,"10","PUBLIC",8,8,750,"0","NEW","June","0",239,"M-L","1",10,9.23
"1818","0",6,"10","PUBLIC",8,8,831,"0","NEW","June","1",203,"L","1",9.86,9.64
"1824","0",6,"10","PUBLIC",9,8,820,"0","NEW","June","0",351,"L","1",10,8.4
"1826","0",14,"10","PUBLIC",9,9,514,"0","NEW","June","0",882,"S-M","0",9,8.42
"1827","0",19,"10","PUBLIC",9,8,767,"0","EXISTING","June","1",923,"M-L","1",10,10
"1829","0",3,"10","PUBLIC",9,9,558,"0","EXISTING","June","0",343,"S-M","0",9.88,9.445
"1833","0",1,"10","PUBLIC",9,9,1000,"0","EXISTING","June","0",22,"L","1",10,9.52
"1837","0",9,"10","PUBLIC",8,8,400,"0","EXISTING","June","1",642,"S-M","0",10,9.26
"1842","1",4,"5","CHD",13,12,400,"0","NEW","June","0",422,"S-M","0",9,8
"1845","1",17,"5","PUBLIC",8,8,150,"0","EXISTING","June","0",1794,"S","1",10,9.5
"1847","0",7,"10","PUBLIC",8,8,1214,"0","EXISTING","June","0",206,"L","1",8,9.32
"1863","0",4,"7","PUBLIC",8,8,300,"0","EXISTING","June","0",825,"S","1",9.45,8
"1865","0",7,"10","PUBLIC",8,8,355,"0","NEW","June","1",824,"S-M","0",7,8.66
"1868","1",8,"4","PUBLIC",12,6,557,"1","EXISTING","June","0",662,"S-M","1",10,9.4
"1869","0",0,"4","PUBLIC",13,5,810,"0","NEW","June","1",1108,"M-L","0",7.68,8.32
"1870","0",39,"10","PUBLIC",8,7,379,"0","EXISTING","June","1",1783,"S-M","1",9.89,9.82
"1877","1",25,"10","PUBLIC",8,8,760,"0","EXISTING","June","0",1259,"M-L","0",10,9.56
"1879","0",38,"5","Catholic",13,12,880,"0","EXISTING","June","1",1065,"L","1",10,10
"1883","0",42,"10","PUBLIC",8,8,814,"0","EXISTING","June","1",1202,"L","1",10,10
"1884","0",17,"10","PUBLIC",8,8,998,"0","EXISTING","June","0",637,"L","1",10,9.67
"1886","0",9,"10","PUBLIC",9,8,356,"0","EXISTING","June","1",762,"S-M","1",10,9.57
"1887","0",9,"10","PUBLIC",8,8,394,"0","EXISTING","June","0",1483,"S-M","1",10,9.75
"1888","0",29,"10","PUBLIC",9,8,802,"0","NEW","June","1",1251,"M-L","1",10,9.74
"1889","1",14,"5","PUBLIC",9,12,277,"0","EXISTING","June","0",1490,"S","0",9.85,9.49
"1894","0",8,"5","PUBLIC",12,8,717,"0","NEW","June","1",592,"M-L","1",10,9.15
"1898","0",18,"5","PUBLIC",9,8,1129,"0","EXISTING","June","1",704,"L","1",10,9
"1902","0",10,"10","PUBLIC",8,8,780,"0","EXISTING","June","1",298,"M-L","1",9.95,9.5
"1904","0",0,"8","PUBLIC",11,12,373,"0","NEW","June","0",1765,"S-M","0",7.5725,7.8
"1905","0",2,"10","PUBLIC",8,8,760,"0","NEW","June","1",233,"M-L","0",10,9.29
"1907","1",11,"10","Catholic",13,8,214,"0","NEW","June","1",1120,"S","0",10,8.985
"1908","1",37,"10","PUBLIC",9,8,905,"0","EXISTING","June","0",1080,"L","0",10,8.9
"1911","0",11,"10","PUBLIC",5,8,550,"0","EXISTING","June","1",776,"S-M","1",9,10
"1914","0",2,"5","Catholic",13,8,400,"0","EXISTING","June","1",284,"S-M","1",9.74,9.23
"1917","0",9,"8","PUBLIC",11,12,2765,"0","NEW","June","0",84,"L","0",10,9.01
"1927","0",26,"4","PUBLIC",12,5,615,"1","EXISTING","June","1",1088,"M-L","1",8,9.11
"1930","1",17,"10","PUBLIC",8,8,279,"0","EXISTING","June","0",1414,"S","0",9,9.46
"1932","1",22,"10","PUBLIC",8,8,431,"0","EXISTING","June","1",1409,"S-M","0",9.74,9.67
"1933","1",2,"4","PUBLIC",12,8,475,"0","EXISTING","June","0",291,"S-M","1",8,9
"1944","0",7,"10","PUBLIC",9,7,501,"0","EXISTING","June","0",332,"S-M","1",10,7
"1950","0",12,"10","PUBLIC",9,9,684,"0","NEW","June","1",466,"M-L","1",9,8.42
"1959","0",5,"7","PUBLIC",9,8,514,"0","EXISTING","June","0",378,"S-M","0",9.55,9.37
"1972","0",2,"7","PUBLIC",9,8,659,"0","NEW","June","1",136,"M-L","0",10,8.77
"1975","0",18,"4","PUBLIC",12,5,458,"0","NEW","June","1",1302,"S-M","1",10,8.87
"1978","0",3,"8","PUBLIC",11,12,2169,"0","NEW","June","0",3,"L","0",10,9.13
"1992","0",3,"4","PUBLIC",13,5,756,"0","EXISTING","June","0",108,"M-L","1",10,10
"1998","0",12,"10","PUBLIC",8,8,687,"0","NEW","June","1",671,"M-L","0",9,9.18
"2002","0",50,"5","PUBLIC",8,8,525,"0","EXISTING","June","1",1822,"S-M","1",10,8
"2007","1",15,"10","PUBLIC",12,8,694,"0","EXISTING","June","0",834,"M-L","0",10,10
"2008","0",11,"5","PUBLIC",8,8,565,"0","EXISTING","June","1",723,"S-M","1",8,9
"2010","0",19,"5","PUBLIC",9,8,990,"0","EXISTING","June","0",731,"L","1",10,10
"2013","0",6,"8","PUBLIC",9,12,367,"0","NEW","June","0",524,"S-M","0",8.21,8.26
"2025","0",16,"10","PUBLIC",8,8,1182,"0","EXISTING","June","1",394,"L","1",9.73,9.55
"2027","0",3,"1","PUBLIC",8,8,690,"0","EXISTING","June","1",125,"M-L","0",10,8
"2029","0",7,"7","CHD",1,8.49,533.78,"0","NEW","June","0",752.49,"","0",10,9.49
"2030","0",3,"4","PUBLIC",12,6,605.58,"0","NEW","June","1",299.45,"","0",10,9.3
"2041","0",19,"5","PUBLIC",8,8,928,"0","NEW","June","1",1056,"L","1",9,10
"2045","0",21,"10","PUBLIC",8,8,440,"0","EXISTING","June","1",1239,"S-M","1",10,9.545
"2048","0",0,"7","PUBLIC",1,8,623.74,"0","NEW","June","0",986.44,"","0",8.56,8.5
"2054","0",23,"5","PUBLIC",6,8,624,"0","EXISTING","June","0",1236,"M-L","1",9.28,9.15
"2064","0",2,"10","PUBLIC",8,8,692,"0","NEW","June","1",83,"M-L","0",10,8.77
"2072","0",27,"1","PUBLIC",8,8,850,"0","EXISTING","June","1",855,"L","1",9,9.28
"2075","0",25,"10","PUBLIC",8,8,487,"0","EXISTING","June","1",1463,"S-M","1",10,10
"2077","0",24,"10","PUBLIC",8,8,493,"0","EXISTING","June","1",1328,"S-M","1",10,9.2575
"2079","0",10,"10","PUBLIC",12,12,620,"0","NEW","June","0",427,"M-L","0",10,9.08
"2086","0",3,"10","PUBLIC",9,8,335,"0","EXISTING","June","1",184,"S","0",9.21,8
"2089","1",13,"10","PUBLIC",6,7,430,"0","EXISTING","June","0",1113,"S-M","0",8,9.135
"2090","0",36,"10","PUBLIC",9,8,750,"0","EXISTING","June","1",1219,"M-L","1",9.58333333333333,10
"2091","0",8,"10","PUBLIC",8,8,620,"0","NEW","June","1",542,"M-L","0",10,9.13
"2094","1",9,"8","PUBLIC",11,12,300,"0","NEW","June","0",755,"S","0",10,9.62
"2095","0",1,"7","CHD",13,12,250,"0","EXISTING","June","1",572,"S","0",10,10
"2105","0",11,"8","PUBLIC",11,12,657,"0","NEW","June","0",514,"M-L","0",9,9.52
"2107","0",4,"7","PUBLIC",7,8,400,"0","EXISTING","June","0",362,"S-M","1",9,8.63
"2114","0",27,"10","PUBLIC",8,8,625,"0","EXISTING","June","1",1157,"M-L","1",10,7
"2116","0",5,"5","PUBLIC",13,8,326,"0","EXISTING","June","0",700,"S","1",9,9.03
"2118","0",6,"1","PUBLIC",9,8,489,"0","EXISTING","June","1",495,"S-M","0",9.82,10
"2121","1",9,"4","PUBLIC",12,6,605,"0","EXISTING","June","0",481,"M-L","0",9.47,9.34
"2136","1",14,"10","PUBLIC",7,8,300,"0","EXISTING","June","1",1084,"S","0",10,9.32
"2138","0",1,"11","CHD",13,12,170,"0","NEW","June","0",988,"S","0",7.87,8.335
"2145","1",6,"10","PUBLIC",2,8,82,"0","NEW","June","0",1692,"S","0",9,8.755
"2152","0",8,"7","PUBLIC",1,7.93,587.7,"0","EXISTING","June","0",776.68,"","0",10,9.18
"2153","0",13,"10","PUBLIC",9,8,907,"0","NEW","June","0",768,"L","0",7,10
"2156","0",75,"4","PUBLIC",12,5,630,"1","EXISTING","June","1",1831,"M-L","1",7.22,7.97
"2163","1",3,"6","PUBLIC",8,8,1082,"0","EXISTING","June","0",129,"L","0",8.99,8.27
"2165","0",8,"10","PUBLIC",8,8,725,"0","EXISTING","June","1",531,"M-L","1",10,9.435
"2166","0",9,"5","PUBLIC",9,8,831,"0","EXISTING","June","1",276,"L","1",7,9.39
"2168","0",7,"6","PUBLIC",8,8,619,"0","EXISTING","June","0",428,"M-L","1",10,9.19
"2171","0",3,"6","PUBLIC",8,8,601,"0","NEW","June","0",212,"M-L","0",10,9.43
"2172","0",0,"7","CHD",1,8,599.38,"0","NEW","June","0",1082.1,"","0",8.58,8.1
"2177","0",14,"5","PUBLIC",9,8,1226,"0","EXISTING","June","0",494,"L","1",9.93,9.456
"2179","0",9,"5","PUBLIC",8,8,676,"0","EXISTING","June","0",472,"M-L","1",10,9.75
"2181","0",4,"10","CHD",13,12,320,"0","EXISTING","June","1",527,"S","1",8,10
"2189","0",24,"5","PUBLIC",10,9,683,"0","EXISTING","June","1",1073,"M-L","1",8,9.04
"2194","0",3,"10","PUBLIC",12,12,119,"0","NEW","June","0",1396,"S","0",10,9.15
"2195","0",1,"8","PUBLIC",11,12,313,"0","NEW","June","0",297,"S","0",8,8.73
"2196","0",10,"5","PUBLIC",8,8,75,"0","NEW","June","0",1794,"S","0",10,8.95
"2198","0",4,"7","PUBLIC",8,8,450,"0","EXISTING","June","1",377,"S-M","0",10,9.37
"2199","0",3,"5","PUBLIC",8,8,464,"0","NEW","June","0",175,"S-M","0",10,9.29
"2204","0",4,"5","PUBLIC",8,8,530,"0","EXISTING","June","1",258,"S-M","0",10,10
"2208","0",5,"4","PUBLIC",12,5,433,"0","EXISTING","June","1",1043,"S-M","1",10,10
"2214","0",15,"5","PUBLIC",8,8,723,"0","EXISTING","June","1",668,"M-L","1",8,10
"2215","1",3,"5","PUBLIC",8,8,302,"0","NEW","June","0",209,"S","0",7,8.54
"2217","0",2,"10","PUBLIC",12,12,510,"0","EXISTING","June","1",755,"S-M","1",10,8
"2221","0",2,"10","PUBLIC",9,8,263,"0","NEW","June","0",547,"S","0",9.47,9.38
"2228","0",22,"5","PUBLIC",9,8,1149,"0","EXISTING","June","1",714,"L","1",8,3
"2230","0",5,"5","PUBLIC",9,8,1477,"0","EXISTING","June","1",217,"L","1",5,9
"2232","0",10,"4","PUBLIC",7,6,523,"0","NEW","June","0",736,"S-M","0",9.81,9.69
"2250","1",46,"5","PUBLIC",8,8,785,"0","EXISTING","June","0",1318,"M-L","0",9,9.22
"2251","0",16,"5","PUBLIC",8,8,840,"0","NEW","June","1",775,"L","0",10,8.67
"2253","1",2,"10","PUBLIC",9,8,770,"0","EXISTING","June","1",15,"M-L","0",9.435,8.79
"2256","0",5,"5","PUBLIC",8,8,234,"0","EXISTING","June","1",689,"S","1",10,9.165
"2267","0",0,"7","PUBLIC",1,7.94,617.46,"0","NEW","June","0",1006.82,"","1",10,9.04
"2282","1",8,"5","PUBLIC",9,12,329,"0","NEW","June","0",1312,"S","0",10,9.63
"2284","1",8,"10","PUBLIC",7,8,403,"0","EXISTING","June","0",686,"S-M","0",9.78,9.47
"2290","0",6,"10","PUBLIC",8,8,1398,"0","NEW","June","0",48,"L","1",10,8.49
"2292","0",14,"5","PUBLIC",8,8,515,"0","EXISTING","June","0",957,"S-M","1",10,10
"2295","0",9,"6","PUBLIC",8,8,1256,"0","NEW","June","0",391,"L","1",10,8.36
"2298","0",0,"8","PUBLIC",11,12,2087,"0","NEW","June","0",5,"L","0",9,8.12
"2309","0",9,"4","PUBLIC",12,6,441,"0","NEW","June","0",641,"S-M","0",10,9.19
"2322","0",32,"2","PUBLIC",8,8,1154,"0","NEW","June","1",831,"L","1",10,8.69
"2328","0",8,"5","PUBLIC",8,8,860,"0","NEW","June","1",421,"L","1",10,9.27
"2334","0",5,"6","PUBLIC",8,8,696,"0","NEW","June","0",259,"M-L","0",10,8.7
"2335","0",19,"5","PUBLIC",9,9,761,"0","EXISTING","June","0",958,"M-L","1",8.6,8.41
"2339","0",14,"5","PUBLIC",8,8,1130,"0","NEW","June","1",868,"L","1",8,8.09
"2352","0",18,"5","PUBLIC",9,8,1000,"0","EXISTING","June","1",807,"L","1",10,9.77
"2359","0",9,"4","PUBLIC",12,5,234,"0","NEW","June","0",917,"S","1",9,8.63
"2362","0",5,"5","PUBLIC",8,8,2300,"0","EXISTING","June","0",41,"L","1",7.865,7.58
"2364","1",14,"4","PUBLIC",12,6,459,"0","NEW","June","0",1152,"S-M","0",9.95,9.67
"2366","0",24,"10","PUBLIC",8,7,682,"0","EXISTING","June","1",1252,"M-L","0",10,10
"2368","0",5,"6","PUBLIC",8,8,1300,"0","NEW","June","0",37,"L","0",10,9.16
"2376","1",6,"4","PUBLIC",12,5,675,"0","EXISTING","June","1",269,"M-L","0",10,9.41
"2378","0",32,"5","PUBLIC",8,8,430,"0","EXISTING","June","0",1675,"S-M","1",9.44,9.14
"2381","0",19,"6","PUBLIC",11,12,1301,"0","NEW","June","0",410,"L","0",10,8.8
"2384","0",0,"7","CHD",1,8.02,568.37,"0","NEW","June","0",981.32,"","0",10,8.94
"2388","0",3,"7","CHD",1,7.89,540.43,"0","NEW","June","1",927.37,"","1",5,7.88
